1;2;3;4;5;6;7;;;;8;;9;;
sort;longitude;latitude;area;radius minimum;radius maximum;length;elongation;eccentricityboundingbox;solidity;eccentricity eigen;calliper;rectangularity;circularityharalick;convexity
1;122,67 ;-16,49 ;0,09 ;2,27 ;10,54 ;0,34 ;0,07 ;0,93 ;1,00 ;0,83 ;0,39 ;0,84 ;6,43187587;0,858673511
2;115,25 ;-13,39 ;5,04 ;5,76 ;88,20 ;3,21 ;0,21 ;0,79 ;1,00 ;0,45 ;3,22 ;0,62 ;8,283122265;0,815201711
3;115,90 ;-14,72 ;0,01 ;0,36 ;3,20 ;0,10 ;0,00 ;1,00 ;1,00 ;0,90 ;0,11 ;0,62 ;4,406685861;0,805873898
4;116,35 ;-14,53 ;0,13 ;5,89 ;13,60 ;0,52 ;0,35 ;0,65 ;1,00 ;0,42 ;0,53 ;0,75 ;5,520044259;0,890602122
5;124,66 ;-14,16 ;0,54 ;3,22 ;25,44 ;0,94 ;0,21 ;0,79 ;1,00 ;0,53 ;0,95 ;0,76 ;12,78391446;0,792744921
6;117,49 ;-14,40 ;0,15 ;5,02 ;15,79 ;0,62 ;0,44 ;0,56 ;1,00 ;0,18 ;0,62 ;0,72 ;4,466616587;0,981644308
7;115,56 ;-14,37 ;0,02 ;3,05 ;4,47 ;0,16 ;0,00 ;1,00 ;1,00 ;0,81 ;0,17 ;0,74 ;10,3121083;0,84084867
8;118,97 ;-14,20 ;0,15 ;1,27 ;20,73 ;0,82 ;0,73 ;0,27 ;1,00 ;0,05 ;0,82 ;0,81 ;3,820927539;0,984426699
9;118,01 ;-14,02 ;0,04 ;3,32 ;6,81 ;0,26 ;0,13 ;0,87 ;1,00 ;0,86 ;0,27 ;0,67 ;6,773701838;0,861200984
10;117,58 ;-13,99 ;0,00 ;0,55 ;2,75 ;0,11 ;0,54 ;0,46 ;1,00 ;0,17 ;0,11 ;0,77 ;6,418729951;0,851829457
11;111,34 ;-13,88 ;0,06 ;4,55 ;9,94 ;0,39 ;0,43 ;0,57 ;1,00 ;0,31 ;0,39 ;0,74 ;4,75208154;0,915484679
12;141,78 ;-13,76 ;0,17 ;3,03 ;19,88 ;0,78 ;0,63 ;0,37 ;1,00 ;0,14 ;0,79 ;0,74 ;4,405974872;0,783265302
13;125,67 ;-13,74 ;0,09 ;4,34 ;11,57 ;0,43 ;0,35 ;0,65 ;1,00 ;0,47 ;0,43 ;0,73 ;5,72221877;0,840755754
14;117,76 ;-13,60 ;0,47 ;6,71 ;30,83 ;1,14 ;0,49 ;0,51 ;1,00 ;0,14 ;1,14 ;0,71 ;4,171517339;0,949675323
15;125,04 ;-13,51 ;0,19 ;2,80 ;16,27 ;0,61 ;0,33 ;0,67 ;1,00 ;0,34 ;0,61 ;0,75 ;6,743892708;0,869025039
16;113,48 ;-13,52 ;0,01 ;2,12 ;3,65 ;0,13 ;0,15 ;0,85 ;1,00 ;0,67 ;0,14 ;0,71 ;8,03990713;0,798104749
17;129,66 ;-13,24 ;0,15 ;6,11 ;14,87 ;0,54 ;0,16 ;0,84 ;1,00 ;0,46 ;0,54 ;0,62 ;9,275852982;0,969541268
18;112,43 ;-13,20 ;0,08 ;4,98 ;10,66 ;0,38 ;0,32 ;0,68 ;1,00 ;0,37 ;0,39 ;0,79 ;6,608639533;0,866695184
19;121,12 ;-13,07 ;0,10 ;3,98 ;11,01 ;0,40 ;0,15 ;0,85 ;1,00 ;0,67 ;0,41 ;0,75 ;5,302875756;0,878892184
20;125,42 ;-13,00 ;0,04 ;2,21 ;9,27 ;0,34 ;0,40 ;0,60 ;1,00 ;0,18 ;0,34 ;0,60 ;4,59313433;0,794426717
21;113,88 ;-13,07 ;0,00 ;0,86 ;3,36 ;0,12 ;0,47 ;0,53 ;1,00 ;0,38 ;0,12 ;0,61 ;2,748261089;0,849632241
22;124,58 ;-13,01 ;0,01 ;0,73 ;3,75 ;0,14 ;0,53 ;0,47 ;1,00 ;0,14 ;0,14 ;0,53 ;4,12233985;0,73910501
23;111,90 ;-12,77 ;0,19 ;5,57 ;19,20 ;0,69 ;0,45 ;0,55 ;1,00 ;0,27 ;0,70 ;0,71 ;4,398437198;0,894343112
24;113,39 ;-12,76 ;0,02 ;0,25 ;5,27 ;0,20 ;0,31 ;0,69 ;1,00 ;0,33 ;0,21 ;0,69 ;4,382047849;0,917369968
25;118,07 ;-12,62 ;0,06 ;1,18 ;9,09 ;0,32 ;0,14 ;0,86 ;1,00 ;0,55 ;0,34 ;0,70 ;5,608887244;0,892405088
26;120,42 ;-12,36 ;0,09 ;4,53 ;11,79 ;0,41 ;0,24 ;0,76 ;1,00 ;0,77 ;0,43 ;0,73 ;3,829119709;0,780484101
27;120,23 ;-11,98 ;0,16 ;1,49 ;13,49 ;0,52 ;0,14 ;0,86 ;1,00 ;0,71 ;0,52 ;0,70 ;10,26883254;0,903654174
28;108,81 ;-12,04 ;0,04 ;3,72 ;6,35 ;0,24 ;0,10 ;0,90 ;1,00 ;0,70 ;0,25 ;0,69 ;10,25238251;0,910349808
29;108,36 ;-11,95 ;0,12 ;0,73 ;16,39 ;0,61 ;0,49 ;0,51 ;1,00 ;0,13 ;0,61 ;0,62 ;3,76399229;0,890857461
30;114,48 ;-12,02 ;0,01 ;2,06 ;4,44 ;0,17 ;0,29 ;0,71 ;1,00 ;0,48 ;0,17 ;0,71 ;6,769626018;0,868251921
31;110,79 ;-11,93 ;0,01 ;1,52 ;2,80 ;0,11 ;0,18 ;0,82 ;1,00 ;0,57 ;0,11 ;0,65 ;5,886697182;0,931209954
32;111,90 ;-11,52 ;0,02 ;2,23 ;4,64 ;0,17 ;0,26 ;0,74 ;1,00 ;0,47 ;0,17 ;0,73 ;4,753826866;0,957199661
33;123,43 ;-11,46 ;0,02 ;1,28 ;6,28 ;0,25 ;0,55 ;0,45 ;1,00 ;0,16 ;0,25 ;0,63 ;3,556623195;0,871188639
34;108,68 ;-11,31 ;0,06 ;1,43 ;9,98 ;0,36 ;0,41 ;0,59 ;1,00 ;0,29 ;0,37 ;0,75 ;4,854642645;0,894591287
35;108,73 ;-11,18 ;0,01 ;0,23 ;4,12 ;0,14 ;0,12 ;0,88 ;1,00 ;0,60 ;0,14 ;0,64 ;4,902094859;0,949983326
36;107,43 ;-10,81 ;0,49 ;13,45 ;31,12 ;1,17 ;0,46 ;0,54 ;1,00 ;0,17 ;1,17 ;0,68 ;4,178962675;0,956555922
37;122,52 ;-10,83 ;0,01 ;0,57 ;5,88 ;0,22 ;0,52 ;0,48 ;1,00 ;0,15 ;0,22 ;0,64 ;3,200794083;0,856488331
38;109,07 ;-10,60 ;0,05 ;4,22 ;9,07 ;0,33 ;0,28 ;0,72 ;1,00 ;0,53 ;0,34 ;0,70 ;6,166782506;0,855196186
39;108,04 ;-10,48 ;0,01 ;0,61 ;4,16 ;0,16 ;0,62 ;0,38 ;1,00 ;0,10 ;0,16 ;0,67 ;3,770613692;0,921621345
40;122,83 ;-9,69 ;1,89 ;14,52 ;46,90 ;1,64 ;0,07 ;0,93 ;1,00 ;0,84 ;1,72 ;0,75 ;10,86144653;0,884584712
41;108,82 ;-9,35 ;1,12 ;11,94 ;42,33 ;1,61 ;0,40 ;0,60 ;1,00 ;0,47 ;1,62 ;0,71 ;4,144065924;0,910718906
42;94,29 ;-9,54 ;0,03 ;0,80 ;8,36 ;0,33 ;0,61 ;0,39 ;1,00 ;0,11 ;0,33 ;0,75 ;2,724924349;0,8832198
43;94,66 ;-9,55 ;0,01 ;0,99 ;4,20 ;0,15 ;0,19 ;0,81 ;1,00 ;0,46 ;0,15 ;0,57 ;3,92000722;0,660609191
44;126,63 ;-9,19 ;0,33 ;1,84 ;21,00 ;0,75 ;0,25 ;0,75 ;1,00 ;0,72 ;0,80 ;0,78 ;5,947546561;0,887535578
45;95,02 ;-9,48 ;0,01 ;0,96 ;2,68 ;0,10 ;0,24 ;0,76 ;1,00 ;0,48 ;0,10 ;0,75 ;4,023670757;0,792573929
46;123,76 ;-8,96 ;0,42 ;0,38 ;23,62 ;0,81 ;0,03 ;0,97 ;1,00 ;0,63 ;0,84 ;0,66 ;5,936858143;0,802778699
47;123,44 ;-9,18 ;0,01 ;0,78 ;4,96 ;0,18 ;0,49 ;0,51 ;1,00 ;0,22 ;0,18 ;0,70 ;3,497231031;0,810427215
48;124,16 ;-9,06 ;0,06 ;0,39 ;9,55 ;0,33 ;0,34 ;0,66 ;1,00 ;0,37 ;0,33 ;0,80 ;4,927539087;0,912058975
49;124,39 ;-9,01 ;0,01 ;0,91 ;2,83 ;0,11 ;0,00 ;1,00 ;1,00 ;0,80 ;0,11 ;0,62 ;11,08471088;0,936838342
50;108,52 ;-8,69 ;0,03 ;3,24 ;6,09 ;0,23 ;0,27 ;0,73 ;1,00 ;0,32 ;0,23 ;0,77 ;7,804847891;0,906896074
51;127,22 ;-8,63 ;0,08 ;5,91 ;9,67 ;0,37 ;0,28 ;0,72 ;1,00 ;0,49 ;0,38 ;0,84 ;5,199389509;0,894366723
52;128,89 ;-8,49 ;0,01 ;2,20 ;3,78 ;0,14 ;0,18 ;0,82 ;1,00 ;0,54 ;0,14 ;0,69 ;5,483991597;0,845990114
53;122,39 ;-8,24 ;0,30 ;1,42 ;25,26 ;0,92 ;0,48 ;0,52 ;1,00 ;0,28 ;0,92 ;0,68 ;4,077585365;0,883182187
54;123,01 ;-8,03 ;0,01 ;1,50 ;4,85 ;0,19 ;0,61 ;0,39 ;1,00 ;0,11 ;0,19 ;0,72 ;2,448691501;0,795471386
55;148,99 ;-7,91 ;0,07 ;0,19 ;9,90 ;0,35 ;0,20 ;0,80 ;1,00 ;0,57 ;0,36 ;0,75 ;5,905322758;0,732669418
56;129,17 ;-6,88 ;4,03 ;0,42 ;73,40 ;2,36 ;0,13 ;0,87 ;1,00 ;0,46 ;2,70 ;0,83 ;5,654835289;0,98585987
57;149,49 ;-8,00 ;0,00 ;0,60 ;2,59 ;0,09 ;0,16 ;0,84 ;1,00 ;0,84 ;0,09 ;0,58 ;2,008381119;0,778703283
