"Kecamatan" "Kabupaten" "Provinsi" "Region" "WARNING"
"CILEDUG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "230.7 Naik 0"
"SINDANGKASIH" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"ANDIR" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"ANJATAN" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "No Warning"
"ANTAPANI" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"ARAHAN" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "237.9"
"ARCAMANIK" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"ARGAPURA" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "237.5 Naik 29.4"
"ARJASARI" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"ARJAWINANGUN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "232.4"
"ASTANA ANYAR" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"ASTANAJAPURA" "KAB. CIREBON" "JAWA BARAT" "JAWA" "233 Naik 16.7"
"BABAKAN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "230.8 Naik 0"
"BABAKAN CIKAO" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"BABAKAN CIPARAY" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"BABAKANMADANG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"BABELAN" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"BAGODUA" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "231.7"
"BALEENDAH" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"BALONGAN" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "238.5 Naik 33.3"
"BALUBURLIMBANGAN" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"BANDUNG KIDUL" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"BANDUNG KULON" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"BANGODUA" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "233.5"
"BANJAR" "KOTA BANJAR" "JAWA BARAT" "JAWA" "No Warning"
"BANJARAN" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"BANJARSARI" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "238.1 Naik 0"
"BANJARWANGI" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"BANTAR GADUNG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"BANTAR GEBANG" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"BANTARKALONG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"BANTARUJEG" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "No Warning"
"BANYURESMI" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"BANYUSARI" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"BAREGBEG" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"BAROS" "KOTA SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"BATUJAJAR" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"BATUJAYA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"BATUNUNGGAL" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"BAYONGBONG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"BEBER" "KAB. CIREBON" "JAWA BARAT" "JAWA" "235.3"
"BEJI" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"BEKASI BARAT" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"BEKASI SELATAN" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"BEKASI TIMUR" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"BEKASI UTARA" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"BINONG" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"BLANAKAN" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"BOGOR BARAT" "KOTA BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"BOGOR SELATAN" "KOTA BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"BOGOR TENGAH" "KOTA BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"BOGOR TIMUR" "KOTA BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"BOGOR UTARA" "KOTA BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"BOJONG" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"BOJONG GAMBIR" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"BOJONG GEDE" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"BOJONG GENTENG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"BOJONG PICUNG" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"BOJONGASIH" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"BOJONGLOA KIDUL" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"BOJONGMANGU" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"BOJONGSARI" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"BOJONGSOANG" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"BONGAS" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "No Warning"
"BUAHBATU" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"BUAHDUA" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "238.8"
"BUNGBULANG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"BUNGURSARI" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"BUNGURSARI" "KOTA TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CABANGBUNGIN" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"CADASNGAMPAR" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"CAMPAKA" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CAMPAKA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"CAMPAKA" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"CAMPAKA MULYA" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CANTIGI" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "No Warning"
"CARINGIN" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CARINGIN" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CARIU" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIAMBAR" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIAMIS" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CIAMPEA" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIANJUR" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIASEM" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CIATER" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CIAWI" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIAWI" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CIAWI GERBANG" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "234.1 Naik 0"
"CIBADAK" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIBALONG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIBALONG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CIBARUSAH" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"CIBATU" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIBATU" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"CIBEBER" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIBEREUM" "KOTA SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIBEUNYING KALER" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIBEUNYING KIDUL" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIBEUREUM" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "227.9"
"CIBEUREUM" "KOTA TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CIBINGBIN" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "227.2 Naik 45.5"
"CIBINONG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIBINONG" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIBIRU" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIBITUNG" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"CIBITUNG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIBIUK" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIBOGO" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CIBUAYA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"CIBUGEL" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"CIBUNGBULAN" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CICALENGKA" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CICANTAYAN" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CICENDO" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CICURUG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIDADAP" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIDADAP" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIDAHU" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "233 Naik 0"
"CIDAHU" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIDAUN" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIDOLOG" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CIDOLOG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIEMAS" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIGALONTANG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CIGANDAMEKAR" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "235.8"
"CIGEDUG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIGOMBONG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIGUDEG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIGUGUR" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "236.2"
"CIGUGUR" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "No Warning"
"CIHAMPLAS" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"CIHAURBEUTI" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CIHURIP" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIJAMBE" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CIJATI" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIJERUK" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIJEUNGJING" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CIJULANG" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "No Warning"
"CIKADU" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIKAJANG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIKAKAK" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIKALONG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "239.6 Naik 0"
"CIKALONG KULON" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
